time_stamp,agent_id,profession,location,current_node_id,household_id,home_node_id,activity_name
5,0,student,home,7961280456_centroid,325,7961280456_centroid,eat_at_restaurant
5,1,student,home,5532522844_centroid,213,5532522844_centroid,eat_at_restaurant
5,11,student,home,7022985032_centroid,33,7022985032_centroid,eat_at_home
5,15,student,home,8223739228_centroid,183,8223739228_centroid,eat_at_home
5,16,student,home,1582921734_centroid,140,1582921734_centroid,eat_at_restaurant
5,21,student,home,2986816529_centroid,108,2986816529_centroid,eat_at_home
5,22,student,home,5555654177_centroid,45,5555654177_centroid,eat_at_home
5,23,student,home,6161063319_centroid,56,6161063319_centroid,eat_at_restaurant
5,24,student,home,10013187953_centroid,51,10013187953_centroid,eat_at_restaurant
5,25,student,home,7961519342_centroid,259,7961519342_centroid,eat_at_restaurant
5,30,student,home,5415837099_centroid,253,5415837099_centroid,eat_at_restaurant
5,31,student,home,5598067848_centroid,246,5598067848_centroid,eat_at_restaurant
5,34,student,home,1575488237_centroid,138,1575488237_centroid,eat_at_home
5,37,student,home,3975269459_centroid,122,3975269459_centroid,eat_at_home
5,41,student,home,5423715947_centroid,207,5423715947_centroid,eat_at_restaurant
5,42,student,home,5415837087_centroid,255,5415837087_centroid,eat_at_restaurant
5,43,student,home,3844350171_centroid,326,3844350171_centroid,eat_at_restaurant
5,51,student,home,7961519270_centroid,313,7961519270_centroid,eat_at_home
5,53,student,home,9738783049_centroid,0,9738783049_centroid,eat_at_home
5,54,student,home,5415836926_centroid,258,5415836926_centroid,eat_at_restaurant
5,57,student,home,4262901827_centroid,16,4262901827_centroid,eat_at_restaurant
5,58,student,home,4262901856_centroid,338,4262901856_centroid,eat_at_home
5,59,student,home,5598068040_centroid,328,5598068040_centroid,eat_at_restaurant
5,62,student,home,5532524088_centroid,150,5532524088_centroid,eat_at_restaurant
5,63,student,home,10024546893_centroid,154,10024546893_centroid,eat_at_home
5,65,student,home,4262901827_centroid,16,4262901827_centroid,eat_at_restaurant
5,67,student,home,5532524126_centroid,241,5532524126_centroid,eat_at_home
5,69,student,home,5436829842_centroid,218,5436829842_centroid,eat_at_restaurant
5,72,student,home,5409247095_centroid,182,5409247095_centroid,eat_at_restaurant
5,74,student,home,5438757121_centroid,109,5438757121_centroid,eat_at_restaurant
5,76,student,home,2987435436_centroid,159,2987435436_centroid,eat_at_restaurant
5,80,student,home,5415836926_centroid,258,5415836926_centroid,eat_at_home
5,81,student,home,7961519278_centroid,68,7961519278_centroid,eat_at_restaurant
5,86,student,home,5555654141_centroid,220,5555654141_centroid,eat_at_home
5,87,student,home,7961509791_centroid,290,7961509791_centroid,eat_at_home
5,90,student,home,1575478070_centroid,129,1575478070_centroid,eat_at_restaurant
5,92,student,home,5911244659_centroid,91,5911244659_centroid,eat_at_home
5,93,student,home,10013187931_centroid,101,10013187931_centroid,eat_at_restaurant
5,95,student,home,5555654147_centroid,19,5555654147_centroid,eat_at_restaurant
5,98,student,home,1573630470_centroid,25,1573630470_centroid,eat_at_home
5,99,student,home,2601271127_centroid,301,2601271127_centroid,eat_at_restaurant
5,100,student,home,3135426892_centroid,149,3135426892_centroid,eat_at_restaurant
5,101,student,home,9738782946_centroid,201,9738782946_centroid,eat_at_restaurant
5,102,student,home,5532524126_centroid,241,5532524126_centroid,eat_at_home
5,104,student,home,4262901261_centroid,224,4262901261_centroid,eat_at_home
5,106,student,home,4805712369_centroid,210,4805712369_centroid,eat_at_home
5,115,student,home,2598219047_centroid,277,2598219047_centroid,eat_at_restaurant
5,117,student,home,3844116998_centroid,229,3844116998_centroid,eat_at_home
5,120,student,home,2598219253_centroid,119,2598219253_centroid,eat_at_restaurant
5,123,student,home,2602579865_centroid,285,2602579865_centroid,eat_at_restaurant
5,124,student,home,5273261025_centroid,222,5273261025_centroid,eat_at_restaurant
5,126,student,home,2598219151_centroid,60,2598219151_centroid,eat_at_home
5,128,student,home,5911244781_centroid,98,5911244781_centroid,eat_at_restaurant
5,132,student,home,2985100797_centroid,157,2985100797_centroid,eat_at_restaurant
5,136,student,home,5379617464_centroid,321,5379617464_centroid,eat_at_restaurant
5,137,student,home,5598068250_centroid,31,5598068250_centroid,eat_at_home
5,138,student,home,3844349926_centroid,46,3844349926_centroid,eat_at_restaurant
5,140,student,home,1582687115_centroid,306,1582687115_centroid,eat_at_restaurant
5,141,student,home,1582921734_centroid,140,1582921734_centroid,eat_at_restaurant
5,143,student,home,3389130609_centroid,13,3389130609_centroid,eat_at_home
5,144,student,home,5598068564_centroid,97,5598068564_centroid,eat_at_home
5,146,student,home,2598218851_centroid,245,2598218851_centroid,eat_at_restaurant
5,149,student,home,2601271222_centroid,282,2601271222_centroid,eat_at_home
5,150,student,home,5297220742_centroid,240,5297220742_centroid,eat_at_restaurant
5,153,student,home,4801751282_centroid,26,4801751282_centroid,eat_at_home
5,154,student,home,5598068486_centroid,28,5598068486_centroid,eat_at_restaurant
5,155,student,home,5532524026_centroid,221,5532524026_centroid,eat_at_restaurant
5,157,student,home,2601271524_centroid,215,2601271524_centroid,eat_at_restaurant
5,160,student,home,5598067840_centroid,237,5598067840_centroid,eat_at_home
5,162,student,home,2985100779_centroid,132,2985100779_centroid,eat_at_restaurant
5,163,student,home,3901330669_centroid,209,3901330669_centroid,eat_at_home
5,164,student,home,5385111216_centroid,342,5385111216_centroid,eat_at_home
5,166,student,home,9738782080_centroid,219,9738782080_centroid,eat_at_home
5,167,student,home,5409248372_centroid,349,5409248372_centroid,eat_at_restaurant
5,168,student,home,5415836922_centroid,21,5415836922_centroid,eat_at_home
5,169,student,home,5598067376_centroid,197,5598067376_centroid,eat_at_home
5,171,student,home,9729800646_centroid,350,9729800646_centroid,eat_at_restaurant
5,172,student,home,5276861212_centroid,231,5276861212_centroid,eat_at_restaurant
5,174,student,home,7168468235_centroid,112,7168468235_centroid,eat_at_home
5,176,student,home,2598219151_centroid,60,2598219151_centroid,eat_at_home
5,178,student,home,5276861164_centroid,322,5276861164_centroid,eat_at_home
5,179,student,home,5911244681_centroid,233,5911244681_centroid,eat_at_restaurant
5,180,student,home,5285304690_centroid,262,5285304690_centroid,eat_at_home
5,182,student,home,3901330751_centroid,84,3901330751_centroid,eat_at_home
5,186,student,home,10024546749_centroid,293,10024546749_centroid,eat_at_home
5,188,student,home,2987435436_centroid,159,2987435436_centroid,eat_at_restaurant
5,189,student,home,5525081311_centroid,244,5525081311_centroid,eat_at_home
5,191,student,home,5379614088_centroid,35,5379614088_centroid,eat_at_home
5,192,student,home,5415837016_centroid,87,5415837016_centroid,eat_at_home
5,194,student,home,7961519274_centroid,200,7961519274_centroid,eat_at_restaurant
5,195,student,home,1572653115_centroid,274,1572653115_centroid,eat_at_home
5,196,student,home,5436827908_centroid,36,5436827908_centroid,eat_at_restaurant
5,201,student,home,3389130623_centroid,267,3389130623_centroid,eat_at_restaurant
5,204,student,home,9729800646_centroid,296,9729800646_centroid,eat_at_restaurant
5,207,student,home,6161063319_centroid,56,6161063319_centroid,eat_at_restaurant
5,208,student,home,5285304690_centroid,262,5285304690_centroid,eat_at_home
5,210,student,home,3844117007_centroid,104,3844117007_centroid,eat_at_restaurant
5,213,student,home,3844116795_centroid,185,3844116795_centroid,eat_at_restaurant
5,214,student,home,5598068086_centroid,50,5598068086_centroid,eat_at_home
5,216,student,home,4262901856_centroid,338,4262901856_centroid,eat_at_home
5,217,student,home,5532524088_centroid,150,5532524088_centroid,eat_at_home
5,218,student,home,7183789931_centroid,315,7183789931_centroid,eat_at_restaurant
5,219,student,home,5598068302_centroid,6,5598068302_centroid,eat_at_home
5,223,student,home,5911244781_centroid,98,5911244781_centroid,eat_at_home
5,227,student,home,9738783049_centroid,0,9738783049_centroid,eat_at_home
5,229,student,home,5436829842_centroid,218,5436829842_centroid,eat_at_restaurant
5,231,student,home,2985100785_centroid,327,2985100785_centroid,eat_at_restaurant
5,236,student,home,5423715927_centroid,124,5423715927_centroid,eat_at_restaurant
5,244,student,home,5436829942_centroid,40,5436829942_centroid,eat_at_home
5,249,student,home,5415837028_centroid,286,5415837028_centroid,eat_at_restaurant
5,250,student,home,5423715991_centroid,55,5423715991_centroid,eat_at_home
5,252,student,home,6161063355_centroid,83,6161063355_centroid,eat_at_home
5,253,student,home,5409247119_centroid,48,5409247119_centroid,eat_at_restaurant
5,257,student,home,5409248372_centroid,29,5409248372_centroid,eat_at_restaurant
5,259,student,home,5379614116_centroid,80,5379614116_centroid,eat_at_home
5,260,student,home,9741629282_centroid,225,9741629282_centroid,eat_at_restaurant
5,261,student,home,4801751224_centroid,195,4801751224_centroid,eat_at_restaurant
5,263,student,home,9738782080_centroid,219,9738782080_centroid,eat_at_restaurant
5,264,student,home,5297201495_centroid,266,5297201495_centroid,eat_at_restaurant
5,267,student,home,5485723797_centroid,123,5485723797_centroid,eat_at_home
5,268,student,home,5409248386_centroid,65,5409248386_centroid,eat_at_home
5,274,student,home,5379614116_centroid,23,5379614116_centroid,eat_at_restaurant
5,275,student,home,1573630470_centroid,25,1573630470_centroid,eat_at_restaurant
5,279,student,home,3844116795_centroid,305,3844116795_centroid,eat_at_home
5,281,student,home,5409248099_centroid,24,5409248099_centroid,eat_at_restaurant
5,284,student,home,3901330724_centroid,192,3901330724_centroid,eat_at_home
5,285,student,home,2602579958_centroid,216,2602579958_centroid,eat_at_home
5,286,student,home,7961519211_centroid,287,7961519211_centroid,eat_at_home
5,288,student,home,5438757127_centroid,319,5438757127_centroid,eat_at_home
5,290,student,home,2660610429_centroid,42,2660610429_centroid,eat_at_home
5,291,student,home,2598219217_centroid,52,2598219217_centroid,eat_at_restaurant
5,295,student,home,2987143357_centroid,239,2987143357_centroid,eat_at_home
5,298,student,home,2598218861_centroid,265,2598218861_centroid,eat_at_restaurant
5,299,student,home,7961286763_centroid,4,7961286763_centroid,eat_at_restaurant
5,300,student,home,9941505080_centroid,136,9941505080_centroid,eat_at_home
5,301,student,home,9741629282_centroid,225,9741629282_centroid,eat_at_restaurant
5,302,student,home,3975269509_centroid,142,3975269509_centroid,eat_at_home
5,305,student,home,3975269533_centroid,34,3975269533_centroid,eat_at_home
5,306,student,home,2598218913_centroid,278,2598218913_centroid,eat_at_home
5,309,student,home,3511813039_centroid,252,3511813039_centroid,eat_at_restaurant
5,313,student,home,5598068550_centroid,329,5598068550_centroid,eat_at_restaurant
5,314,student,home,5525081307_centroid,170,5525081307_centroid,eat_at_home
5,317,student,home,1573614867_centroid,345,1573614867_centroid,eat_at_restaurant
5,320,student,home,9729800646_centroid,296,9729800646_centroid,eat_at_restaurant
5,322,student,home,5598068578_centroid,139,5598068578_centroid,eat_at_home
5,323,student,home,2601271524_centroid,215,2601271524_centroid,eat_at_home
5,324,student,home,7706898853_centroid,332,7706898853_centroid,eat_at_restaurant
5,325,student,home,10024546767_centroid,95,10024546767_centroid,eat_at_restaurant
5,328,student,home,5409248372_centroid,29,5409248372_centroid,eat_at_home
5,330,student,home,1572653115_centroid,171,1572653115_centroid,eat_at_restaurant
5,333,student,home,2601271505_centroid,280,2601271505_centroid,eat_at_home
5,334,student,home,1572619415_centroid,1,1572619415_centroid,eat_at_home
5,337,student,home,5297220750_centroid,310,5297220750_centroid,eat_at_home
5,339,student,home,7022985032_centroid,33,7022985032_centroid,eat_at_home
5,341,student,home,5555654177_centroid,45,5555654177_centroid,eat_at_home
5,342,student,home,7961519398_centroid,82,7961519398_centroid,eat_at_home
5,347,student,home,2601271426_centroid,330,2601271426_centroid,eat_at_restaurant
5,351,student,home,1582706374_centroid,269,1582706374_centroid,eat_at_home
5,353,student,home,5555654171_centroid,348,5555654171_centroid,eat_at_restaurant
5,356,student,home,5415836926_centroid,295,5415836926_centroid,eat_at_home
5,360,student,home,1573641323_centroid,141,1573641323_centroid,eat_at_restaurant
5,363,student,home,9941505080_centroid,41,9941505080_centroid,eat_at_home
5,368,student,home,10024546893_centroid,154,10024546893_centroid,eat_at_restaurant
5,373,student,home,5276905032_centroid,126,5276905032_centroid,eat_at_home
5,375,student,home,7961519402_centroid,125,7961519402_centroid,eat_at_home
5,376,student,home,5297220738_centroid,62,5297220738_centroid,eat_at_home
5,377,student,home,1573620589_centroid,173,1573620589_centroid,eat_at_home
5,381,student,home,5598067840_centroid,237,5598067840_centroid,eat_at_home
5,382,student,home,7961519262_centroid,53,7961519262_centroid,eat_at_restaurant
5,383,student,home,1582921734_centroid,20,1582921734_centroid,eat_at_restaurant
5,387,student,home,3844116795_centroid,155,3844116795_centroid,eat_at_home
